post_id,date,platform,post_category,topic,caption,hashtags,creative_type,assigned_to,status,approval_status,scheduled_time
P017,2026-07-17,Facebook,AI Tips,Using AI for Better Marketing,"Learn how AI can improve campaign planning, scheduling, and audience engagement.",#Marketing #AI,Single Image,Bilal Ahmed,Drafted,Pending,5:00 PM
P018,2026-07-18,Instagram,Behind the Scenes,Developing AI Features,"A behind-the-scenes look at how our developers build automation solutions.",#BehindTheScenes #Development #AI,Story,Zara Ali,Drafted,Pending,3:00 PM
P019,2026-07-19,LinkedIn,Company News,Celebrating Client Success,"We're proud to help businesses automate their marketing workflows and achieve better results.",#ClientSuccess #Automation,Carousel,Hassan Raza,Drafted,Rejected,10:30 AM
P020,2026-07-20,Instagram,AI Automation,Future of Marketing Automation,"AI-powered marketing is transforming the way companies connect with customers.",#FutureOfAI #MarketingAutomation,Reel,Noor Fatima,Drafted,Pending,7:00 PM
P021,2026-07-21,Facebook,Product Demo,Scheduler Payload Preview,"Our scheduler prepares API-ready payloads for seamless publishing across platforms.",#Scheduler #API #Automation,Single Image,Ayesha Khan,Idea,Pending,5:00 PM
P022,2026-07-22,Instagram,Business Education,Choosing the Right AI Tools,"Discover how businesses can select the right AI tools to improve efficiency.",#AI #BusinessEducation,Carousel,Bilal Ahmed,Idea,Pending,6:00 PM
P023,2026-07-23,LinkedIn,Startup Tips,Growing with Smart Automation,"Automation helps startups scale operations without significantly increasing workload.",#Startup #Automation #Growth,Single Image,Zara Ali,Idea,Pending,10:00 AM
P024,2026-07-24,Instagram,Product Demo,Analytics Dashboard Preview,"Track engagement, reach, and performance using our built-in analytics dashboard.",#Analytics #Dashboard #AI,Carousel,Hassan Raza,Idea,Pending,6:30 PM
P025,2026-07-25,Facebook,Company Update,New Feature Announcement,"We're continuously improving our automation platform with new capabilities.",#Updates #Automation #TijaratAI,Single Image,Noor Fatima,Idea,Pending,4:30 PM
P026,2026-07-26,Instagram,Internship,Intern Project Showcase,"See what our interns have built using Python, AI, and automation tools.",#Internship #Projects #Python,Reel,Ayesha Khan,Idea,Pending,7:00 PM
P027,2026-07-27,LinkedIn,Company Culture,Life at Tijarat AI,"Collaboration, innovation, and continuous learning define our workplace culture.",#CompanyCulture #Innovation,Carousel,Bilal Ahmed,Idea,Pending,10:00 PM
P028,2026-07-28,Instagram,AI Tips,Prompt Engineering Basics,"Better prompts lead to better AI results. Here are a few practical tips.",#PromptEngineering #GenerativeAI,Story,Zara Ali,Idea,Pending,6:00 PM
P029,2026-07-29,Facebook,Business Education,Understanding AI Workflows,"AI workflows simplify business operations by connecting multiple automation tools together.",#Workflow #AI #Business,Single Image,Hassan Raza,Idea,Pending,5:00 PM
P030,2026-07-30,Instagram,Company Culture,Meet the Tijarat AI Team,"Meet the passionate team building practical AI solutions for businesses and startups.",#TijaratAI #OurTeam #Innovation,Carousel,Noor Fatima,Idea,Pending,6:30 PM
